Classification,Orbital period,Transit Duration,Transit Depth,Planet radius value,Planet Insolation Value,Planetary Equilibrium Temp.,Stellar Effective Temp.,Stellar Surface Gravity,Stellar Radius
1,5.826657508,2.9183,1540,4.09,248.57,1013,5561,4.362,1.06
1,12.41216347,3.739,611,2.58,90.65,787,5561,4.362,1.06
1,18.74649011,3.895,797,3.05,52.38,686,5561,4.362,1.06
1,20.86021229,5.1937,1910,5.5,87.76,781,6035,4.22,1.257
1,42.63427848,6.1998,1720,5.22,33.82,615,6035,4.22,1.257
1,87.6476068,8.871,1010,4,12.94,484,6035,4.22,1.257
1,9.61731426,3.8692,234,1.94,246.13,1010,6035,4.22,1.257
1,9.467821474,2.4327,2240,2.13,6.47,407,3582,4.807,0.458
1,0.893040969,1.0981,742,1.24,151.14,893,3582,4.807,0.458
1,4.942783419,3.25346,11100,10.62,244.42,1008,5514,4.459,0.978
1,20.83426731,4.0454,988,2.74,29.62,595,5537,4.549,0.88
1,9.94602357,3.3862,995,3.12,100.34,807,5344,4.365,1.013
1,1.04562195,1.8955,213,1.45,2031.84,1710,5344,4.365,1.013
1,5.71462396,2.336,298,1.78,210.16,971,5344,4.365,1.013
0,102.9641952,15.735,1900,39,95.4,797,5047,3.066,7.119
1,8.14515981,5.073,447,3.43,287.91,1050,5896,4.197,1.24
1,18.9985279,4.529,431,43.17,93.03,792,5896,4.197,1.24
1,4.24439049,3.282,174,2.07,686.99,1305,5896,4.197,1.24
1,90.1240507,11.649,3020,7.12,13.09,485,6520,4.375,1.215
1,28.5742692,4.9427,825,2.32,19.83,538,5551,4.508,0.812
1,856.672115,23.144,858,3.87,0.81,242,6449,4.232,1.309
1,0.689210173,1.6169,195,1.32,3362.71,1943,5630,4.505,0.954
1,7.34373964,1.1784,574,1.84,117.5,839,5757,4.597,0.762
0,0.445277068,3.539,187,35.74,10177.11,2562,6167,4.444,1.064
0,0.379463865,0.86896,1970,59.56,19256.81,3000,5075,3.892,1.783
